Date,Low,High,Open,Close
1999-01-22,17.08067639343504,21.494129262732457,19.258789448620885,18.055281043052673
1999-01-25,18.055278540645688,20.175725056203063,19.488131630266814,19.946821331977844
1999-01-26,18.112507774938578,20.577192691161137,20.175729649054382,18.39907944202423
1999-01-27,17.424468804377778,18.914987966250322,18.4562983154691,18.341846466064453
1999-01-28,18.16973601547365,18.456306065970306,18.341854168502977,18.28418791294098
1999-01-29,17.424468398094177,18.341846038390504,18.284179808389343,17.424468398094177
1999-02-01,17.424473991642934,17.88316213909983,17.424473991642934,17.768710255622864
1999-02-02,15.877165497053747,17.883160321011985,17.424472220187518,16.393080353736877
1999-02-03,16.04884742805653,16.96622545840367,16.16374045021377,16.73688054084778
1999-02-04,16.736875256429585,18.112503200672386,16.96622010157327,17.653815150260925
1999-02-05,17.482142618313297,18.34185442153997,17.940391341270995,18.16973626613617
1999-02-08,17.539367079734802,18.3418537228058,18.284187468645058,17.539367079734802
1999-02-09,16.62198553199563,17.99761361043897,17.88316010013527,16.851330399513245
1999-02-10,16.393076014533776,17.31001412655604,16.85132614714505,16.679647564888
1999-02-11,16.73687699146765,18.80009855840726,16.73687699146765,18.112505078315735
1999-02-12,18.341841530879528,19.258779459142882,18.341841530879528,19.144327640533447
1999-02-16,17.310016931924306,20.290617687240015,19.488131286707993,19.25878643989563
1999-02-17,17.883156480483002,19.029439459394556,18.800094638297637,18.226953148841858
1999-02-18,17.99760921204389,19.029438660499448,18.800093849030894,18.513523936271667
1999-02-19,18.11249676719803,19.48812422282438,18.341841530879528,19.144327640533447
1999-02-22,18.226955192551245,19.71747613352036,19.488131286707993,19.25878643989563
1999-02-23,18.571199540835355,20.57719486261691,19.71748305038953,20.175731778144836
1999-02-24,21.264788132200067,24.073709355396645,23.156331373581505,21.78070306777954
1999-02-25,20.748870159652544,23.38567470436768,22.698079521256098,21.09310805797577
1999-02-26,19.946827290352907,22.01004931110303,21.322455679773682,20.11850595474243
1999-03-01,19.25878586309857,21.0931034560375,20.634413776150442,20.23339033126831
1999-03-02,19.717486814476757,20.29062867866718,20.175735629712204,20.061283707618713
1999-03-03,18.571198336630886,20.175730469898358,20.175730469898358,18.68565022945404
1999-03-04,18.112509246801757,19.717482571943737,19.602589547709847,18.28418791294098
1999-03-05,18.45630257112717,19.37324095753614,18.45630257112717,19.31601583957672
1999-03-08,18.45630163248252,20.175726442059524,18.8000983690658,19.602584838867188
1999-03-09,19.545357451313592,20.519961919483332,19.545357451313592,20.23339033126831
1999-03-10,19.6025893039061,20.519968979301236,20.519968979301236,19.889160990715027
1999-03-11,19.02944505214691,19.88915835893812,19.545361589537418,19.02944505214691
1999-03-12,18.341853424235914,19.144340054243983,19.144340054243983,18.68565022945404
1999-03-15,19.029446945695828,19.717481679663685,19.144339964730438,19.488136768341064
1999-03-16,18.685649443137457,19.831932830126544,19.602587927382704,18.857767581939697
1999-03-17,18.513524234012564,19.37323562599208,19.029438966537462,18.972213864326477
1999-03-18,18.571197524514336,19.48813600724793,19.029446202516446,19.201565980911255
1999-03-19,19.14433457980071,19.83192799361528,19.14433457980071,19.25878643989563
1999-03-22,18.68565022945404,19.717481771857077,19.659815518635032,18.68565022945404
1999-03-23,17.19557026892033,18.80010242830648,18.80010242830648,17.539367079734802
1999-03-24,16.736873424660438,17.539359731525472,17.424468398094177,17.424468398094177
1999-03-25,17.310016805979142,18.34184804581607,17.367243555548193,17.653815150260925
1999-03-26,17.88316281741711,19.25879110488219,17.88316281741711,19.201565980911255
1999-03-29,19.430910884807933,20.233397547512624,19.774709343910217,19.774709343910217
